promo;;Code;Cours;TD;;;;Libellé;Description;Objectifs;Ouvert aux étudiants en échange;Pré-requis obligatoires;Contrôle des connaissances;Syllabus / Méthodes Pédagogiques;Compétences Visées;Compétences Requises;Bibliographie;mots clés;Langues d'enseignement;
IBI/SBI;Cours obligatoire;M1-INF5;15;15;Daniel, Nicolas;;(niveau 3 - parsing);Algorithmique Avancée;"Avec la multiplication des formats de fichiers texte structurés (XML, Json,…) il devient incontournable d’avoir des méthodes et outils pour faire l’analyse de tels fichiers. Par analyse (parsing en anglais) on entend ici : écrire un programme informatique qui soit capable de lire et « comprendre » le contenu du document structuré ; c’est-à-dire d’en créer au final une représentation interne en mémoire facilement utilisable.
Le but de ce cours est de fournir aux étudiants les bases théoriques de ces méthodes et les outils pour leur mise en œuvre dans le cadre de la Programmation Orientée Objet. 
";"A la fin de ce cours, les étudiants doivent avoir compris les notions de documents structurés, les concepts théoriques de l’analyse lexicale et syntaxique ainsi que leurs liens avec la théorie de langages. 
A partir d’un document structuré, ils doivent être capables de décrire son niveau lexical (notions d’expressions régulières, automates) et son niveau syntaxique (notions de langages context-free, grammaire LL(k)) de manière adéquate pour les donner en entrée à un générateur d’analyseurs. Ils doivent être capables de modifier l’analyseur généré pour qu’il retourne une représentation interne du document analysé. La représentation interne doit être modélisée et implémentée en Orienté Objet.
";;Bases de l'algorithmique et de la POO;Evaluation continue intégrale  (ECI)  ;"• Notion d’analyse lexicale, expressions régulières et automates.
• Utilisation d’une bibliothèque Orientée Objet pour l’analyse lexicale.
• Bases de la théorie des langages : grammaires, opérateurs, lien avec les expressions régulières et automates, ambiguïté, récursivité…
• Notion d’analyse syntaxique : rôle, grammaires et analyseurs prédictifs LL(k).
• Utilisation d’un générateur d’analyseurs (lexicaux et syntaxiques) Orienté Objet
• Paramétrage de l’analyseur généré pour produire une représentation interne (en Orienté Objet) du document analysé.
";8.6 Développer des applications back-end multi-tiers (bases de données, serveur d’application, API, WEB Services, ...).;8.6 Développer des applications back-end multi-tiers (bases de données, serveur d’application, API, WEB Services, ...).;"- Aho, R. Sethi, J. Ullman. Compilateurs: principes, techniques et outils, InterEditions.
- Appel. Modern Compiler Construction in Java, Addison Wesley
";"Analyse lexicale,  Analyse syntaxique,  Langages/grammaires régulières, Automates d’états finis, Langages/grammaires context-free, Générateur d’analyseurs
";Français ;
IBI/SBI;Cours obligatoire;M1-INF6;12;15;Nicolas;Maxime;integrer responsable (mesurer);Cloud computing;This course explores the principles and practices of cloud computing, focusing on its architectures, deployment models, and services. Students will learn about key technologies driving cloud computing, such as virtualization, containerization, and orchestration. The course also emphasizes cloud-based application development, deployment, and management with a strong focus on scalability, security, and cost-efficiency.;"Understand the fundamental concepts and service models of cloud computing (IaaS, PaaS, SaaS).
Explore the architectures and technologies behind cloud infrastructure.
Learn to deploy, manage, and monitor applications in the cloud.
Analyze cloud computing cost models and optimize for efficiency.
Implement security best practices in cloud environments.";yes;"Familiarity with operating systems and networking principles.
Basic knowledge of virtualization technologies (e.g., virtual machines).
Proficiency in a programming language (e.g., Python, Java, or JavaScript).
Experience with Git and version control systems.";"50% Continuous Assessment (CC):

    30%: Group project deploying a cloud-based solution using IaaS/PaaS providers.
    20%: Individual practical assignments (e.g., container orchestration, scaling applications).

50% Final Exam (Écrit/Oral):

    Theoretical and practical questions on cloud concepts and practices.";"    Introduction to Cloud Computing
        Evolution of cloud computing and its importance
        Cloud service models: IaaS, PaaS, SaaS

    Virtualization and Containerization
        Virtual machines (VMs) vs. containers (e.g., Docker)
        Benefits and trade-offs

    Cloud Deployment Models
        Public, private, hybrid, and multi-cloud environments
        Use cases and scenarios

    Cloud Service Providers
        Overview of AWS, Azure, Google Cloud, and others
        Hands-on experience with one or more platforms

    Scalability and Orchestration
        Auto-scaling and load balancing
        Kubernetes and container orchestration

    Cloud Security
        Identity and access management (IAM)
        Data protection, encryption, and compliance

    Cloud Cost Management
        Cost models and billing in the cloud
        Strategies for cost optimization

    Serverless and Edge Computing
        Introduction to serverless computing (e.g., AWS Lambda, Azure Functions)
        Emerging trends: edge computing and fog computing

    Monitoring and Logging
        Tools and best practices for cloud application monitoring
        Logging frameworks and performance metrics

Methods:

    Practical labs on major cloud platforms (AWS, Google Cloud, Azure).
    Group projects involving real-world cloud application deployment.
    Weekly quizzes and hands-on assignments for skill reinforcement.";"2.3 Solve problems to develop new knowledge and procedures and integrate knowledge from different domains.
6.3 Design and deploy distributed software architectures on supporting platforms (Cloud, virtual machines, containers, middleware, etc.).
8.6 Develop back-end applications, including multi-tier architectures (databases, application servers, APIs, web services).
8.7 Develop and integrate components into existing systems (specific software, ERP, EAI, etc.).
7.1 Define, adapt, and implement a project management method.
1.2 Autonomously use advanced digital tools for one or more professions or research sectors in the field.
6.4 Define the architecture of the software infrastructure using the most appropriate paradigm (services, web, cloud).
8.3 Identify, use, and evaluate software management tools (performance analysis, tests, CI/CD pipelines, etc.).";"1.2 Autonomously use advanced digital tools for one or more professions or research sectors in the field.
6.4 Define the architecture of the software infrastructure using the most appropriate paradigm (services, web, cloud).
8.3 Identify, use, and evaluate software management tools (performance analysis, tests, CI/CD pipelines, etc.).";;"    Cloud computing, virtualization, containerization, Docker, Kubernetes
    IaaS, PaaS, SaaS, serverless computing
    AWS, Google Cloud, Azure
    Scalability, orchestration, load balancing
    Cloud security, cost optimization, edge computing";Français;
IBI;Cours obligatoire;M1-INF8;15;15;Nourhène, Camille, Daniel;;(bases + un peu de codage) - avant Machine learning;Introduction à l'intelligence artificielle ;Ce cours propose un panorama des techniques de l'intelligence artificielle (IA) en présentant les concepts clés du domaine. Il explore en détail les approches symboliques et connexionnistes, avec pour objectif de permettre aux étudiants de mettre en œuvre une méthode d’IA symbolique ainsi qu’une méthode d’IA connexionniste dans un cas concret et simple.;"À la fin de ce cours, les étudiants seront capables de :
-	Acquérir une compréhension approfondie des principales techniques de l'intelligence artificielle, avec un focus particulier sur les approches symboliques et connexionnistes.
-	Maîtriser des techniques essentielles de l'IA, telles que le machine learning, les chatbots, le traitement du langage naturel (NLP), etc.
-	Se familiariser avec les infrastructures techniques nécessaires au développement, au déploiement et à la gestion de projets d'IA.
-	Appliquer une approche symbolique et connexionniste à des cas d’utilisation concrets dans les systèmes d'information (SI), en tenant compte des spécificités et des défis propres à chaque application.";non ;"Connaissances de base
en programmation en Python.";"Sont prises en compte:
- notes de Quizz, avec un coefficient très léger
- notes de projet, avec un coefficient plus important
- DST final";"1)	Introduction à l’Intelligence Artificielle et ses Principales Branches
-	Présentation générale : Histoire et applications de l'IA.
-	Exploration des deux grandes approches : IA symbolique (systèmes experts, logique, ontologies) et IA connexionniste (réseaux neuronaux, machine learning).
-	Comparaison des approches symboliques et connexionnistes.
-	Applications concrètes de l’IA dans les systèmes d’information (SI).
2)	Gestion de Projets d’IA
3)	Introduction à Prolog
4)	Introduction au Machine Learning et son Application dans les Systèmes d’Information
5)	Introduction au Traitement du Langage Naturel (NLP)
6)	 Introduction à la Vision par Ordinateur
 7)	Introduction aux Chatbots et Agents Conversationnels
8)	Présentation des Projets Réalisés,           
  - Chaque séance couvre les concepts fondamentaux d'une méthode (Machine Learning, Prolog, NLP, Chatbots et Vision par Ordinateur), suivis d'une mise en œuvre pratique sur un cas réel appliqué aux systèmes d'information.";"Modéliser un raisonnement en utilisant divers types de logiques 
(premier ordre, logique des propositions, logique des descriptions, ...) 
Appliquer des concepts mathématiques pour paramétrer et intégrer un composant/service d’Intelligence Artificielle dans une application logicielle +";"Utiliser des méthodes combinatoires, 
probabilistes ou concurrentielles comme support à la décision
 ou à l’optimisation d’un processus, produit ou service";"Russell, S. J., & Norvig, P. (2016). Artificial intelligence: a modern approach. Pearson.
-	Géron, Aurélien. Hands-on machine learning with Scikit-Learn, Keras, and TensorFlow. "" O'Reilly Media, Inc."", 2022.
Bird, Steven, Ewan Klein, and Edward Loper. ""Nltk documentation."" Online: accessed April (2008).
 Mordvintsev, Alexander, and K. Abid. ""Opencv-python tutorials documentation."" Obtenido de https://media. readthedocs. org/pdf/opencv-python-tutroals/latest/opencv-python-tutroals. pdf (2014)";Intelligence artificielle, IA symbolique, IA connexionniste, machine learning, NLP, agents conversationnels, vision par ordinateur. ;Français;
IBI/SBI;Cours obligatoire;M1-ISI3;15;15;Rebecca, Irina;;;Modèles et outils pour les processus;This cours introduces the main concepts of Business Process Management discipline. We explore the business process lifecycle, starting from process identification and terminating with process analysis. The BPMN graphical notation is introduced for reasoning about process logic. Architecture of the process-driven information systems and business process management systems is examined during this class.;At the end of this class, the students will learn about the complete process lifecycle and how each stage of this lifecycle is implemented in a company. In particular, the students will be able to draw BPMN diagrams to represent collaborating business processes. The students will be able to reason about the integrating role of a business process in the enterprise and about the architecture of its supporting information systems. ;oui;basic knowledge in OOP and UML is a plus.;Evaluation continue intégrale  (ECI)  ;;"5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)
5.3 Auditer et cartographier les processus d’une organisation
8.1 Modéliser de manière fonctionnelle une application d’entreprise avec des méthodes et outils standards : exigences, processus métier et recette applicative.";"5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)
5.3 Auditer et cartographier les processus d’une organisation
8.1 Modéliser de manière fonctionnelle une application d’entreprise avec des méthodes et outils standards : exigences, processus métier et recette applicative.";;Processus, Modélisation;Français;
SBI;Cours obligatoire;M1-ISI3;15;15;Rebecca, Irina;;integrer responsable (sensibiliser, mesurer);Modèles et outils pour les processus;This cours introduces the main concepts of Business Process Management discipline. We explore the business process lifecycle, starting from process identification and terminating with process analysis. The BPMN graphical notation is introduced for reasoning about process logic. Architecture of the process-driven information systems and business process management systems is examined during this class. Additionally, the course emphasizes the importance of sustainability in business processes. Students are sensitized to ecological, social, and economic challenges as part of process analysis and optimization. Tools and methodologies for assessing the environmental and societal impact of processes are also introduced.;At the end of this class, the students will learn about the complete process lifecycle and how each stage of this lifecycle is implemented in a company. In particular, the students will be able to draw BPMN diagrams to represent collaborating business processes. The students will be able to reason about the integrating role of a business process in the enterprise, about the architecture of its supporting information systems and about its sustainability. ;oui;basic knowledge in OOP and UML is a plus.;Evaluation continue intégrale  (ECI)  ;;"5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)
5.3 Auditer et cartographier les processus d’une organisation
8.1 Modéliser de manière fonctionnelle une application d’entreprise avec des méthodes et outils standards : exigences, processus métier et recette applicative.";"5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)
5.3 Auditer et cartographier les processus d’une organisation
8.1 Modéliser de manière fonctionnelle une application d’entreprise avec des méthodes et outils standards : exigences, processus métier et recette applicative.";;Processus, Modélisation;Français;
IBI/SBI;Cours obligatoire;M1-ISI4;15;15;Rebecca, Carine, irina;;Ethique, Green IT, Explicabilité;Ethique et Développement durable;"Ce module a pour objectif de sensibiliser les étudiants aux enjeux éthiques et environnementaux liés aux technologies numériques, en les préparant à intégrer des pratiques responsables dans la conception et la gestion de systèmes d'information.
Les étudiants seront introduits aux bases de l'éthique appliquée aux technologies de l'information et au concept de Green IT, tout en développant un esprit critique face aux impacts sociétaux et environnementaux des systèmes numériques.";"Comprendre les enjeux éthiques et environnementaux du numérique
Identifier les impacts sociétaux, environnementaux et éthiques des systèmes d'information.
Reconnaître les dilemmes éthiques courants dans les projets numériques.
Sensibiliser aux principes de ""Ethics by Design"".
Sensibiliser à l’importance de l’éco-conception.
Analyser les pratiques numériques pour différencier les initiatives responsables des stratégies de greenwashing.
Identifier des gestes responsables dans l’utilisation quotidienne des outils numériques, au niveau individuel et professionnel.";;module de L3 sur le développement durable;Evaluation continue intégrale  (ECI)  ;"1) Ethique et responsabilité dans le numérique: introduction aux fondements de l’éthique appliquée aux technologies, exploration des dilemmes éthiques dans les projets numériques (biais algorithmiques, transparence, explicabilité, et inclusion), sensibilisation aux principes de ""Ethics by Design""? (intégrer les valeurs éthiques dès la conception d’un projet IT).
2) Green IT et consommation énergétique: comprendre les impacts écologiques du numérique (consommation énergétique des data centers, empreinte carbone des technologies, gestion des déchets électroniques), étude des bonnes pratiques d’éco-conception des services numériques et des outils permettant de réduire ces impacts)
3) Responsabilité sociétale des systèmes d’information: identifier les pratiques responsables au sein des entreprises? (politiques de RSE appliquées au numérique, exemples concrets d’initiatives Green IT), développer un esprit critique face au greenwashing dans les discours et les pratiques technologiques.
4) Pratiques responsables dans l’usage quotidien: conseils pour un usage numérique personnel et professionnel plus durable?(gestion des ressources, réduction des déchets numériques, optimisation énergétique), réflexion sur les choix individuels et leur impact global.";"4.5 Respecter les principes d’éthique, de déontologie et de responsabilité sociétale et environnementale
5.1 Analyser l’environnement (économique, juridique et sociétal), le fonctionnement et la structure d’une organisation";"4.5 Respecter les principes d’éthique, de déontologie et de responsabilité sociétale et environnementale
";;"Développement Durble
Ethique
Green IT";Français;
SBI;Cours obligatoire;M1-ISI5;15;15;Nicolas, Rebecca, Carine;;;Modélisation événementielle et ses implémentations;"Les systèmes sont de plus en plus réactifs et adaptatifs. Pour aider les étudiants à appréhender le développement de ce type de systèmes, il faut comprendre et maitriser :
(a) la vision systémique;
(b)  la modélisation événementielle et ses bonnes pratiques pour être en mesure de développer des systèmes réactifs et adaptatifs robustes.";"Comprendre le concept d'évènement et de modélisation évènementielle.
Savoir modéliser un système avec un modèle évènementiel.
Savoir implémenter un système évènementiel.";;Modélisatione et Programmation Orientée Objet;Evaluation continue intégrale  (ECI)  ;"Introduction à la modélisation événementielle à l'aide du modèle O*.
Application sur plusieurs cas d'étude.
Passage à l'implémentation avec plusieurs TP à difficulté croissante.";"5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)
6.3 Concevoir et déployer des architectures logicielles distribuées sur des plateformes supports (Cloud, Machines virtuelles, Conteneurs, Middleware…)
8.1 Modéliser de manière fonctionnelle une application d’entreprise avec des méthodes et outils standards : exigences, processus métier et recette applicative.	
8.2 Modéliser de manière technique une application d’entreprise en utilisant des méthodes et outils standards : architecture, interface personne système, systèmes de gestion de données, composants";"""5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)
8.1 Modéliser de manière fonctionnelle une application d’entreprise avec des méthodes et outils standards : exigences, processus métier et recette applicative.	";;;Français;
IBI/SBI;Cours obligatoire;M1-MM3;15;15;Daniel, Lukas Lapidus (doctorant d'Arianna Novaro);;;Techniques mathématiques pour l'aide à la décision;;;;Aucun;Evaluation continue intégrale  (ECI)  ;;;;;;Français;
IBI;Cours obligatoire;M1-GO3;9;9;Carine;Hela ?;(inscrit dans un parcours IA);Marketing digital;Ce cours de marketing digital explore les principes et stratégies du marketing en ligne, en abordant la conception d’expériences numériques, l’optimisation des médias digitaux (SEO, publicité en ligne, partenariats), l’analyse des performances via le web analytics et l’impact des réseaux sociaux, de la géolocalisation et du mobile. Il permet aux étudiants de comprendre et d’exploiter les leviers numériques pour une communication et une stratégie marketing efficaces.;"- Comprendre les fondamentaux du marketing digital : Acquérir les concepts clés et les tendances du marketing en ligne, ainsi que les différences avec le marketing traditionnel.
- Concevoir une expérience utilisateur efficace : Apprendre à structurer et optimiser un site web en fonction des besoins des consommateurs et des bonnes pratiques du digital.
- Maîtriser les leviers du marketing digital : Savoir utiliser les outils et techniques de communication numérique, notamment le référencement (SEO/SEA), l’e-mailing, l’affiliation et la publicité en ligne.
- Analyser et mesurer la performance des actions digitales : Utiliser le web analytics pour évaluer l’efficacité des campagnes et ajuster les stratégies en conséquence.
- L14Exploiter le potentiel du social, du local et du mobile : Comprendre l’impact des réseaux sociaux, de la géolocalisation et du marketing mobile pour une stratégie omnicanale performante.








";;Aucun;Evaluation continue intégrale  (ECI)  ;"Chapitre 1 Introduction au marketing digital
Chapitre 2 : Penser en terme de plateforme vers un Mix du marketing digital
Chapitre 3: Concevoir l’expérience en ligne : recommandations pour la conception d’un site
Chapitre 4: Planification et utilisation des médias digitaux en communication : leviers du marketing
digital : (référencement liens sponsorisés, affiliation et partenariat, e-mailing)
Chapitre 5 : Web Analytics
Chapitre 6 : Social (comprendre les communautés, les réseaux et les tribus), local (géolocaliser un
internaute), mobile (opportunités du mobile)";"4.1 Gérer des contextes professionnels ou d’études complexes, imprévisibles et qui nécessitent des approches stratégiques nouvelles
5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)
5.6 Organiser et développer le système décisionnel de l’organisation";4.1 Gérer des contextes professionnels ou d’études complexes, imprévisibles et qui nécessitent des approches stratégiques nouvelles;;Marketing, stratégie digitale, web analytics;Français;
SBI;Cours obligatoire;M1-GO3;9;9;Carine;;(orienté gestion de projet);Contrôle de gestion;"This course presents the technics and tools of computing the differents costs, how to compute the prédicted costs and Benefits , elaborate a Dashboard and analyse the variances
of a company .";"The student should be able :
-to compute the cost of goods produced and sold
- to assess the profitabilty of a company,the break-even point, ....
-To elaborate the budgets (predicted cots and predicted benefits) and Dashboard.
-to calculate and explain the different variances .";;Aucun;Evaluation continue intégrale  (ECI)  ;;"4.1 Gérer des contextes professionnels ou d’études complexes, imprévisibles et qui nécessitent des approches stratégiques nouvelles
5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)";"""4.1 Gérer des contextes professionnels ou d’études complexes, imprévisibles et qui nécessitent des approches stratégiques nouvelles
5.2 Analyser le fonctionnement d’une organisation en utilisant des outils spécialisés (mathématiques, informatiques et de gestion)""";;Cost accounting, Budget, variances, profitability, Dashboard;Français;
